Sample	Variant classes	Consequences (most severe)	Consequences (all)	Coding consequences	Variants by chromosome	Position in protein	General statistics
5M-ensemble-annotated	{'SNV': 7}	{'splice_donor_variant': 1, 'stop_gained': 2, 'stop_lost': 2, 'missense_variant': 1, 'non_coding_transcript_exon_variant': 1}	{'splice_donor_variant': 1, 'stop_gained': 12, 'stop_lost': 3, 'missense_variant': 4, 'splice_region_variant': 5, '3_prime_UTR_variant': 1, 'non_coding_transcript_exon_variant': 9, 'intron_variant': 18, 'NMD_transcript_variant': 7, 'non_coding_transcript_variant': 3, 'upstream_gene_variant': 4, 'downstream_gene_variant': 5}	{'stop_gained': 12, 'stop_lost': 3, 'missense_variant': 4}	{'chr5': 1, 'chr6': 1, 'chr14': 1, 'chr15': 2, 'chr16': 1, 'chr18': 1}	{'00-10%': 1, '10-20%': 0, '20-30%': 2, '30-40%': 6, '40-50%': 3, '50-60%': 4, '60-70%': 0, '70-80%': 0, '80-90%': 0, '90-100%': 3}	{'Lines of input read': 7, 'Variants processed': 7, 'Variants filtered out': 0, 'Overlapped genes': 10, 'Overlapped transcripts': 57}
5T-ensemble-annotated	{'insertion': 1, 'deletion': 2, 'SNV': 13}	{'splice_acceptor_variant': 1, 'splice_donor_variant': 4, 'stop_gained': 4, 'frameshift_variant': 2, 'stop_lost': 3, 'inframe_deletion': 1, 'missense_variant': 1}	{'splice_acceptor_variant': 5, 'splice_donor_variant': 15, 'stop_gained': 30, 'frameshift_variant': 3, 'stop_lost': 5, 'inframe_deletion': 1, 'missense_variant': 5, 'splice_region_variant': 6, '3_prime_UTR_variant': 4, 'non_coding_transcript_exon_variant': 5, 'intron_variant': 53, 'NMD_transcript_variant': 31, 'non_coding_transcript_variant': 29, 'upstream_gene_variant': 11, 'downstream_gene_variant': 15}	{'stop_gained': 30, 'frameshift_variant': 3, 'stop_lost': 5, 'inframe_deletion': 1, 'missense_variant': 5}	{'chr1': 1, 'chr5': 1, 'chr6': 2, 'chr7': 1, 'chr8': 1, 'chr9': 1, 'chr12': 2, 'chr13': 3, 'chr15': 1, 'chr17': 1, 'chr18': 1, 'chr22': 1}	{'00-10%': 4, '10-20%': 0, '20-30%': 4, '30-40%': 7, '40-50%': 9, '50-60%': 7, '60-70%': 6, '70-80%': 1, '80-90%': 0, '90-100%': 6}	{'Lines of input read': 16, 'Variants processed': 16, 'Variants filtered out': 0, 'Overlapped genes': 32, 'Overlapped transcripts': 152}
64M-ensemble-annotated	{'insertion': 15, 'deletion': 34, 'SNV': 216}	{'splice_acceptor_variant': 24, 'splice_donor_variant': 43, 'stop_gained': 72, 'frameshift_variant': 24, 'stop_lost': 2, 'start_lost': 4, 'inframe_insertion': 8, 'inframe_deletion': 13, 'missense_variant': 69, 'splice_region_variant': 1, '5_prime_UTR_variant': 1, 'non_coding_transcript_exon_variant': 3, 'upstream_gene_variant': 1}	{'splice_acceptor_variant': 215, 'splice_donor_variant': 245, 'stop_gained': 304, 'frameshift_variant': 72, 'stop_lost': 4, 'start_lost': 20, 'inframe_insertion': 21, 'inframe_deletion': 71, 'missense_variant': 321, 'splice_donor_5th_base_variant': 3, 'splice_region_variant': 466, 'splice_donor_region_variant': 11, 'splice_polypyrimidine_tract_variant': 7, 'incomplete_terminal_codon_variant': 3, 'stop_retained_variant': 2, 'synonymous_variant': 9, 'coding_sequence_variant': 3, '5_prime_UTR_variant': 21, '3_prime_UTR_variant': 131, 'non_coding_transcript_exon_variant': 353, 'intron_variant': 395, 'NMD_transcript_variant': 378, 'non_coding_transcript_variant': 307, 'upstream_gene_variant': 390, 'downstream_gene_variant': 603}	{'stop_gained': 304, 'frameshift_variant': 72, 'stop_lost': 4, 'start_lost': 20, 'inframe_insertion': 21, 'inframe_deletion': 71, 'missense_variant': 321, 'incomplete_terminal_codon_variant': 3, 'stop_retained_variant': 2, 'synonymous_variant': 9, 'coding_sequence_variant': 3}	{'chr1': 30, 'chr2': 30, 'chr3': 18, 'chr4': 14, 'chr5': 6, 'chr6': 11, 'chr7': 26, 'chr8': 6, 'chr9': 8, 'chr10': 3, 'chr11': 18, 'chr12': 15, 'chr13': 2, 'chr14': 9, 'chr15': 10, 'chr16': 9, 'chr17': 9, 'chr18': 7, 'chr19': 15, 'chr20': 6, 'chr21': 3, 'chr22': 4, 'chrX': 6}	{'00-10%': 117, '10-20%': 90, '20-30%': 82, '30-40%': 64, '40-50%': 63, '50-60%': 90, '60-70%': 84, '70-80%': 87, '80-90%': 64, '90-100%': 83}	{'Lines of input read': 265, 'Variants processed': 265, 'Variants filtered out': 0, 'Overlapped genes': 397, 'Overlapped transcripts': 2975}
64T-ensemble-annotated	{'insertion': 9, 'deletion': 13, 'SNV': 20}	{'splice_acceptor_variant': 1, 'splice_donor_variant': 1, 'stop_gained': 9, 'frameshift_variant': 7, 'stop_lost': 1, 'inframe_insertion': 7, 'inframe_deletion': 6, 'missense_variant': 9, 'non_coding_transcript_exon_variant': 1}	{'splice_acceptor_variant': 1, 'splice_donor_variant': 1, 'stop_gained': 44, 'frameshift_variant': 13, 'stop_lost': 2, 'start_lost': 1, 'inframe_insertion': 20, 'inframe_deletion': 24, 'missense_variant': 26, 'splice_region_variant': 16, 'splice_donor_region_variant': 1, 'splice_polypyrimidine_tract_variant': 4, 'incomplete_terminal_codon_variant': 1, 'start_retained_variant': 1, 'stop_retained_variant': 2, 'synonymous_variant': 3, 'coding_sequence_variant': 1, '5_prime_UTR_variant': 3, '3_prime_UTR_variant': 21, 'non_coding_transcript_exon_variant': 42, 'intron_variant': 75, 'NMD_transcript_variant': 28, 'non_coding_transcript_variant': 55, 'upstream_gene_variant': 47, 'downstream_gene_variant': 104}	{'stop_gained': 44, 'frameshift_variant': 13, 'stop_lost': 2, 'start_lost': 1, 'inframe_insertion': 20, 'inframe_deletion': 24, 'missense_variant': 26, 'incomplete_terminal_codon_variant': 1, 'start_retained_variant': 1, 'stop_retained_variant': 2, 'synonymous_variant': 3, 'coding_sequence_variant': 1}	{'chr1': 1, 'chr2': 3, 'chr3': 1, 'chr4': 1, 'chr5': 2, 'chr6': 5, 'chr7': 3, 'chr9': 2, 'chr11': 1, 'chr12': 1, 'chr14': 4, 'chr15': 1, 'chr16': 3, 'chr17': 2, 'chr18': 2, 'chr19': 7, 'chr20': 1, 'chr21': 1, 'chrX': 1}	{'00-10%': 11, '10-20%': 1, '20-30%': 7, '30-40%': 15, '40-50%': 8, '50-60%': 21, '60-70%': 21, '70-80%': 17, '80-90%': 11, '90-100%': 21}	{'Lines of input read': 42, 'Variants processed': 42, 'Variants filtered out': 0, 'Overlapped genes': 75, 'Overlapped transcripts': 414}
66M-ensemble-annotated	{'insertion': 11, 'deletion': 17, 'SNV': 56}	{'splice_acceptor_variant': 6, 'splice_donor_variant': 9, 'stop_gained': 19, 'frameshift_variant': 11, 'stop_lost': 5, 'inframe_insertion': 6, 'inframe_deletion': 9, 'missense_variant': 16, '3_prime_UTR_variant': 2, 'intron_variant': 1}	{'splice_acceptor_variant': 14, 'splice_donor_variant': 28, 'stop_gained': 55, 'frameshift_variant': 41, 'stop_lost': 5, 'inframe_insertion': 10, 'inframe_deletion': 34, 'missense_variant': 67, 'splice_region_variant': 69, 'splice_polypyrimidine_tract_variant': 6, 'stop_retained_variant': 2, 'coding_sequence_variant': 1, '5_prime_UTR_variant': 26, '3_prime_UTR_variant': 22, 'non_coding_transcript_exon_variant': 77, 'intron_variant': 168, 'NMD_transcript_variant': 84, 'non_coding_transcript_variant': 76, 'upstream_gene_variant': 64, 'downstream_gene_variant': 139}	{'stop_gained': 55, 'frameshift_variant': 41, 'stop_lost': 5, 'inframe_insertion': 10, 'inframe_deletion': 34, 'missense_variant': 67, 'stop_retained_variant': 2, 'coding_sequence_variant': 1}	{'chr1': 5, 'chr2': 5, 'chr3': 3, 'chr4': 1, 'chr5': 3, 'chr6': 12, 'chr7': 14, 'chr8': 1, 'chr9': 3, 'chr10': 3, 'chr11': 4, 'chr12': 3, 'chr13': 4, 'chr14': 2, 'chr15': 3, 'chr16': 1, 'chr17': 5, 'chr19': 8, 'chr20': 1, 'chr22': 3}	{'00-10%': 32, '10-20%': 8, '20-30%': 40, '30-40%': 27, '40-50%': 18, '50-60%': 18, '60-70%': 13, '70-80%': 17, '80-90%': 17, '90-100%': 20}	{'Lines of input read': 84, 'Variants processed': 84, 'Variants filtered out': 0, 'Overlapped genes': 117, 'Overlapped transcripts': 628}
66T-ensemble-annotated	{'insertion': 11, 'deletion': 15, 'SNV': 31}	{'splice_acceptor_variant': 5, 'splice_donor_variant': 3, 'stop_gained': 10, 'frameshift_variant': 10, 'stop_lost': 1, 'inframe_insertion': 6, 'inframe_deletion': 8, 'missense_variant': 14}	{'splice_acceptor_variant': 9, 'splice_donor_variant': 9, 'stop_gained': 41, 'frameshift_variant': 38, 'stop_lost': 1, 'inframe_insertion': 11, 'inframe_deletion': 31, 'missense_variant': 55, 'splice_region_variant': 30, 'splice_polypyrimidine_tract_variant': 6, 'stop_retained_variant': 2, 'coding_sequence_variant': 1, '5_prime_UTR_variant': 27, '3_prime_UTR_variant': 18, 'non_coding_transcript_exon_variant': 59, 'intron_variant': 77, 'NMD_transcript_variant': 42, 'non_coding_transcript_variant': 40, 'upstream_gene_variant': 81, 'downstream_gene_variant': 90}	{'stop_gained': 41, 'frameshift_variant': 38, 'stop_lost': 1, 'inframe_insertion': 11, 'inframe_deletion': 31, 'missense_variant': 55, 'stop_retained_variant': 2, 'coding_sequence_variant': 1}	{'chr1': 1, 'chr2': 4, 'chr3': 1, 'chr6': 9, 'chr7': 17, 'chr8': 1, 'chr9': 3, 'chr11': 3, 'chr12': 1, 'chr13': 2, 'chr14': 2, 'chr15': 3, 'chr17': 3, 'chr19': 6, 'chr22': 1}	{'00-10%': 35, '10-20%': 14, '20-30%': 23, '30-40%': 19, '40-50%': 10, '50-60%': 14, '60-70%': 7, '70-80%': 19, '80-90%': 18, '90-100%': 19}	{'Lines of input read': 57, 'Variants processed': 57, 'Variants filtered out': 0, 'Overlapped genes': 74, 'Overlapped transcripts': 420}
6M-ensemble-annotated	{'insertion': 3, 'SNV': 6, 'deletion': 8}	{'splice_acceptor_variant': 1, 'splice_donor_variant': 1, 'stop_gained': 4, 'frameshift_variant': 10, 'inframe_deletion': 1}	{'splice_acceptor_variant': 4, 'splice_donor_variant': 9, 'stop_gained': 21, 'frameshift_variant': 28, 'inframe_deletion': 1, 'splice_region_variant': 5, '5_prime_UTR_variant': 3, '3_prime_UTR_variant': 4, 'non_coding_transcript_exon_variant': 11, 'intron_variant': 36, 'NMD_transcript_variant': 12, 'non_coding_transcript_variant': 13, 'upstream_gene_variant': 103, 'downstream_gene_variant': 24}	{'stop_gained': 21, 'frameshift_variant': 28, 'inframe_deletion': 1}	{'chr1': 2, 'chr3': 1, 'chr4': 2, 'chr5': 1, 'chr6': 1, 'chr8': 2, 'chr11': 1, 'chr13': 2, 'chr16': 1, 'chr17': 1, 'chr18': 1, 'chr19': 1, 'chr20': 1}	{'00-10%': 11, '10-20%': 7, '20-30%': 2, '30-40%': 6, '40-50%': 2, '50-60%': 4, '60-70%': 6, '70-80%': 6, '80-90%': 1, '90-100%': 5}	{'Lines of input read': 17, 'Variants processed': 17, 'Variants filtered out': 0, 'Overlapped genes': 25, 'Overlapped transcripts': 244}
6T-ensemble-annotated	{'insertion': 3, 'SNV': 16}	{'splice_acceptor_variant': 1, 'splice_donor_variant': 3, 'stop_gained': 5, 'frameshift_variant': 3, 'stop_lost': 4, 'missense_variant': 3}	{'splice_acceptor_variant': 4, 'splice_donor_variant': 11, 'stop_gained': 22, 'frameshift_variant': 6, 'stop_lost': 4, 'missense_variant': 5, 'splice_region_variant': 11, 'synonymous_variant': 4, '5_prime_UTR_variant': 4, '3_prime_UTR_variant': 10, 'non_coding_transcript_exon_variant': 14, 'intron_variant': 157, 'NMD_transcript_variant': 84, 'non_coding_transcript_variant': 13, 'upstream_gene_variant': 45, 'downstream_gene_variant': 84}	{'stop_gained': 22, 'frameshift_variant': 6, 'stop_lost': 4, 'missense_variant': 5, 'synonymous_variant': 4}	{'chr1': 1, 'chr2': 2, 'chr3': 3, 'chr6': 1, 'chr8': 1, 'chr11': 1, 'chr12': 1, 'chr13': 1, 'chr16': 1, 'chr17': 1, 'chr18': 2, 'chr19': 1, 'chr20': 1, 'chr22': 1, 'chrX': 1}	{'00-10%': 6, '10-20%': 3, '20-30%': 1, '30-40%': 6, '40-50%': 3, '50-60%': 3, '60-70%': 3, '70-80%': 6, '80-90%': 1, '90-100%': 9}	{'Lines of input read': 19, 'Variants processed': 19, 'Variants filtered out': 0, 'Overlapped genes': 30, 'Overlapped transcripts': 370}
73M-ensemble-annotated	{'insertion': 1, 'deletion': 8, 'SNV': 11}	{'splice_acceptor_variant': 1, 'splice_donor_variant': 3, 'stop_gained': 7, 'frameshift_variant': 6, 'inframe_deletion': 2, '3_prime_UTR_variant': 1}	{'splice_acceptor_variant': 11, 'splice_donor_variant': 11, 'stop_gained': 21, 'frameshift_variant': 43, 'inframe_deletion': 13, 'splice_region_variant': 2, '5_prime_UTR_variant': 1, '3_prime_UTR_variant': 10, 'non_coding_transcript_exon_variant': 15, 'intron_variant': 31, 'NMD_transcript_variant': 18, 'non_coding_transcript_variant': 11, 'upstream_gene_variant': 10, 'downstream_gene_variant': 18}	{'stop_gained': 21, 'frameshift_variant': 43, 'inframe_deletion': 13}	{'chr1': 1, 'chr2': 2, 'chr4': 3, 'chr5': 1, 'chr6': 1, 'chr8': 1, 'chr10': 1, 'chr12': 1, 'chr16': 2, 'chr17': 4, 'chr19': 3}	{'00-10%': 0, '10-20%': 9, '20-30%': 6, '30-40%': 4, '40-50%': 8, '50-60%': 7, '60-70%': 6, '70-80%': 12, '80-90%': 15, '90-100%': 10}	{'Lines of input read': 20, 'Variants processed': 20, 'Variants filtered out': 0, 'Overlapped genes': 25, 'Overlapped transcripts': 184}
73T-ensemble-annotated	{'insertion': 2, 'deletion': 10, 'SNV': 27}	{'splice_acceptor_variant': 1, 'splice_donor_variant': 4, 'stop_gained': 11, 'frameshift_variant': 7, 'stop_lost': 5, 'inframe_insertion': 1, 'inframe_deletion': 3, 'missense_variant': 5, 'splice_region_variant': 2}	{'splice_acceptor_variant': 6, 'splice_donor_variant': 5, 'stop_gained': 22, 'frameshift_variant': 15, 'stop_lost': 5, 'inframe_insertion': 1, 'inframe_deletion': 16, 'missense_variant': 11, 'splice_region_variant': 17, 'splice_polypyrimidine_tract_variant': 3, 'stop_retained_variant': 1, 'synonymous_variant': 5, '5_prime_UTR_variant': 1, '3_prime_UTR_variant': 14, 'non_coding_transcript_exon_variant': 25, 'intron_variant': 236, 'NMD_transcript_variant': 99, 'non_coding_transcript_variant': 45, 'upstream_gene_variant': 52, 'downstream_gene_variant': 65}	{'stop_gained': 22, 'frameshift_variant': 15, 'stop_lost': 5, 'inframe_insertion': 1, 'inframe_deletion': 16, 'missense_variant': 11, 'stop_retained_variant': 1, 'synonymous_variant': 5}	{'chr1': 2, 'chr2': 2, 'chr3': 1, 'chr5': 1, 'chr6': 5, 'chr7': 1, 'chr8': 1, 'chr10': 2, 'chr11': 2, 'chr13': 2, 'chr14': 2, 'chr16': 2, 'chr17': 3, 'chr18': 1, 'chr19': 7, 'chr20': 2, 'chr22': 1, 'chrX': 2}	{'00-10%': 4, '10-20%': 0, '20-30%': 6, '30-40%': 6, '40-50%': 16, '50-60%': 14, '60-70%': 6, '70-80%': 6, '80-90%': 4, '90-100%': 13}	{'Lines of input read': 39, 'Variants processed': 39, 'Variants filtered out': 0, 'Overlapped genes': 67, 'Overlapped transcripts': 470}
75M-ensemble-annotated	{'insertion': 14, 'deletion': 29, 'SNV': 210}	{'splice_acceptor_variant': 23, 'splice_donor_variant': 41, 'stop_gained': 80, 'frameshift_variant': 14, 'stop_lost': 4, 'start_lost': 3, 'inframe_insertion': 9, 'inframe_deletion': 14, 'missense_variant': 57, '5_prime_UTR_variant': 2, '3_prime_UTR_variant': 4, 'non_coding_transcript_exon_variant': 1, 'intergenic_variant': 1}	{'splice_acceptor_variant': 98, 'splice_donor_variant': 249, 'stop_gained': 269, 'frameshift_variant': 54, 'stop_lost': 5, 'start_lost': 10, 'inframe_insertion': 32, 'inframe_deletion': 34, 'missense_variant': 241, 'splice_donor_5th_base_variant': 1, 'splice_region_variant': 270, 'splice_donor_region_variant': 1, 'splice_polypyrimidine_tract_variant': 18, 'incomplete_terminal_codon_variant': 3, 'stop_retained_variant': 2, 'synonymous_variant': 17, 'coding_sequence_variant': 3, '5_prime_UTR_variant': 38, '3_prime_UTR_variant': 115, 'non_coding_transcript_exon_variant': 234, 'intron_variant': 444, 'NMD_transcript_variant': 326, 'non_coding_transcript_variant': 290, 'upstream_gene_variant': 357, 'downstream_gene_variant': 581, 'intergenic_variant': 1}	{'stop_gained': 269, 'frameshift_variant': 54, 'stop_lost': 5, 'start_lost': 10, 'inframe_insertion': 32, 'inframe_deletion': 34, 'missense_variant': 241, 'incomplete_terminal_codon_variant': 3, 'stop_retained_variant': 2, 'synonymous_variant': 17, 'coding_sequence_variant': 3}	{'chr1': 21, 'chr2': 21, 'chr3': 14, 'chr4': 11, 'chr5': 16, 'chr6': 13, 'chr7': 27, 'chr8': 3, 'chr9': 9, 'chr10': 8, 'chr11': 14, 'chr12': 11, 'chr13': 4, 'chr14': 9, 'chr15': 8, 'chr16': 7, 'chr17': 21, 'chr18': 4, 'chr19': 16, 'chr20': 5, 'chr21': 2, 'chr22': 4, 'chrX': 5}	{'00-10%': 95, '10-20%': 62, '20-30%': 92, '30-40%': 67, '40-50%': 49, '50-60%': 62, '60-70%': 43, '70-80%': 69, '80-90%': 53, '90-100%': 73}	{'Lines of input read': 253, 'Variants processed': 253, 'Variants filtered out': 0, 'Overlapped genes': 390, 'Overlapped transcripts': 2620}
75T-ensemble-annotated	{'insertion': 17, 'deletion': 28, 'SNV': 48}	{'splice_acceptor_variant': 3, 'splice_donor_variant': 3, 'stop_gained': 22, 'frameshift_variant': 13, 'stop_lost': 2, 'inframe_insertion': 13, 'inframe_deletion': 14, 'missense_variant': 16, '5_prime_UTR_variant': 1, '3_prime_UTR_variant': 4, 'intron_variant': 1, 'intergenic_variant': 1}	{'splice_acceptor_variant': 8, 'splice_donor_variant': 20, 'stop_gained': 59, 'frameshift_variant': 36, 'stop_lost': 3, 'inframe_insertion': 46, 'inframe_deletion': 32, 'missense_variant': 45, 'splice_region_variant': 51, 'splice_donor_region_variant': 1, 'splice_polypyrimidine_tract_variant': 10, 'stop_retained_variant': 2, 'synonymous_variant': 5, '5_prime_UTR_variant': 16, '3_prime_UTR_variant': 23, 'non_coding_transcript_exon_variant': 76, 'intron_variant': 146, 'NMD_transcript_variant': 90, 'non_coding_transcript_variant': 68, 'upstream_gene_variant': 125, 'downstream_gene_variant': 204, 'intergenic_variant': 1}	{'stop_gained': 59, 'frameshift_variant': 36, 'stop_lost': 3, 'inframe_insertion': 46, 'inframe_deletion': 32, 'missense_variant': 45, 'stop_retained_variant': 2, 'synonymous_variant': 5}	{'chr1': 2, 'chr2': 4, 'chr3': 4, 'chr4': 2, 'chr5': 5, 'chr6': 5, 'chr7': 11, 'chr8': 1, 'chr10': 3, 'chr11': 6, 'chr12': 3, 'chr13': 3, 'chr14': 4, 'chr15': 6, 'chr16': 3, 'chr17': 12, 'chr18': 2, 'chr19': 11, 'chr21': 1, 'chr22': 4, 'chrX': 1}	{'00-10%': 43, '10-20%': 19, '20-30%': 23, '30-40%': 21, '40-50%': 21, '50-60%': 25, '60-70%': 23, '70-80%': 13, '80-90%': 24, '90-100%': 14}	{'Lines of input read': 93, 'Variants processed': 93, 'Variants filtered out': 0, 'Overlapped genes': 133, 'Overlapped transcripts': 780}
76M-ensemble-annotated	{'insertion': 11, 'deletion': 21, 'SNV': 224}	{'splice_acceptor_variant': 39, 'splice_donor_variant': 41, 'stop_gained': 67, 'frameshift_variant': 15, 'start_lost': 4, 'inframe_insertion': 6, 'inframe_deletion': 8, 'missense_variant': 70, '3_prime_UTR_variant': 4, 'non_coding_transcript_exon_variant': 2}	{'splice_acceptor_variant': 175, 'splice_donor_variant': 326, 'stop_gained': 230, 'frameshift_variant': 38, 'start_lost': 7, 'inframe_insertion': 13, 'inframe_deletion': 22, 'missense_variant': 311, 'splice_donor_5th_base_variant': 2, 'splice_region_variant': 258, 'splice_polypyrimidine_tract_variant': 9, 'incomplete_terminal_codon_variant': 2, 'stop_retained_variant': 2, 'synonymous_variant': 4, 'coding_sequence_variant': 2, '5_prime_UTR_variant': 55, '3_prime_UTR_variant': 79, 'non_coding_transcript_exon_variant': 279, 'intron_variant': 455, 'NMD_transcript_variant': 229, 'non_coding_transcript_variant': 349, 'upstream_gene_variant': 443, 'downstream_gene_variant': 499}	{'stop_gained': 230, 'frameshift_variant': 38, 'start_lost': 7, 'inframe_insertion': 13, 'inframe_deletion': 22, 'missense_variant': 311, 'incomplete_terminal_codon_variant': 2, 'stop_retained_variant': 2, 'synonymous_variant': 4, 'coding_sequence_variant': 2}	{'chr1': 31, 'chr2': 13, 'chr3': 12, 'chr4': 11, 'chr5': 8, 'chr6': 13, 'chr7': 32, 'chr8': 11, 'chr9': 8, 'chr10': 6, 'chr11': 14, 'chr12': 16, 'chr13': 3, 'chr14': 11, 'chr15': 4, 'chr16': 4, 'chr17': 17, 'chr18': 7, 'chr19': 17, 'chr20': 3, 'chr21': 2, 'chr22': 9, 'chrX': 4}	{'00-10%': 55, '10-20%': 81, '20-30%': 69, '30-40%': 68, '40-50%': 46, '50-60%': 58, '60-70%': 47, '70-80%': 63, '80-90%': 66, '90-100%': 73}	{'Lines of input read': 256, 'Variants processed': 256, 'Variants filtered out': 0, 'Overlapped genes': 395, 'Overlapped transcripts': 2818}
76T-ensemble-annotated	{'insertion': 12, 'deletion': 24, 'SNV': 40}	{'splice_acceptor_variant': 4, 'splice_donor_variant': 2, 'stop_gained': 13, 'frameshift_variant': 13, 'stop_lost': 2, 'start_lost': 1, 'inframe_insertion': 6, 'inframe_deletion': 15, 'missense_variant': 13, 'splice_region_variant': 2, '3_prime_UTR_variant': 4, 'non_coding_transcript_exon_variant': 1}	{'splice_acceptor_variant': 11, 'splice_donor_variant': 4, 'stop_gained': 39, 'frameshift_variant': 34, 'stop_lost': 7, 'start_lost': 4, 'inframe_insertion': 14, 'inframe_deletion': 39, 'missense_variant': 34, 'splice_region_variant': 71, 'splice_polypyrimidine_tract_variant': 5, 'stop_retained_variant': 2, '5_prime_UTR_variant': 20, '3_prime_UTR_variant': 35, 'non_coding_transcript_exon_variant': 112, 'intron_variant': 114, 'NMD_transcript_variant': 50, 'non_coding_transcript_variant': 53, 'upstream_gene_variant': 110, 'downstream_gene_variant': 145}	{'stop_gained': 39, 'frameshift_variant': 34, 'stop_lost': 7, 'start_lost': 4, 'inframe_insertion': 14, 'inframe_deletion': 39, 'missense_variant': 34, 'stop_retained_variant': 2}	{'chr1': 3, 'chr2': 1, 'chr3': 1, 'chr4': 1, 'chr5': 3, 'chr6': 6, 'chr7': 16, 'chr8': 1, 'chr9': 3, 'chr10': 2, 'chr11': 6, 'chr12': 5, 'chr13': 2, 'chr14': 3, 'chr15': 5, 'chr16': 1, 'chr17': 3, 'chr18': 2, 'chr19': 7, 'chr22': 3, 'chrX': 2}	{'00-10%': 22, '10-20%': 15, '20-30%': 15, '30-40%': 28, '40-50%': 9, '50-60%': 21, '60-70%': 7, '70-80%': 12, '80-90%': 12, '90-100%': 30}	{'Lines of input read': 76, 'Variants processed': 76, 'Variants filtered out': 0, 'Overlapped genes': 112, 'Overlapped transcripts': 627}
77M-ensemble-annotated	{'insertion': 2, 'deletion': 6, 'SNV': 17}	{'splice_acceptor_variant': 2, 'splice_donor_variant': 6, 'stop_gained': 7, 'frameshift_variant': 4, 'stop_lost': 2, 'inframe_deletion': 1, 'missense_variant': 2, '5_prime_UTR_variant': 1}	{'splice_acceptor_variant': 7, 'splice_donor_variant': 16, 'stop_gained': 34, 'frameshift_variant': 28, 'stop_lost': 2, 'inframe_deletion': 2, 'missense_variant': 23, 'splice_region_variant': 7, 'splice_donor_region_variant': 3, 'coding_sequence_variant': 2, '5_prime_UTR_variant': 11, '3_prime_UTR_variant': 3, 'non_coding_transcript_exon_variant': 47, 'intron_variant': 32, 'NMD_transcript_variant': 26, 'non_coding_transcript_variant': 7, 'upstream_gene_variant': 39, 'downstream_gene_variant': 31}	{'stop_gained': 34, 'frameshift_variant': 28, 'stop_lost': 2, 'inframe_deletion': 2, 'missense_variant': 23, 'coding_sequence_variant': 2}	{'chr2': 2, 'chr3': 1, 'chr4': 5, 'chr5': 1, 'chr6': 1, 'chr7': 3, 'chr8': 2, 'chr9': 1, 'chr11': 2, 'chr17': 1, 'chr18': 1, 'chr19': 1, 'chr21': 1, 'chrX': 3}	{'00-10%': 10, '10-20%': 6, '20-30%': 4, '30-40%': 13, '40-50%': 1, '50-60%': 6, '60-70%': 7, '70-80%': 21, '80-90%': 4, '90-100%': 19}	{'Lines of input read': 25, 'Variants processed': 25, 'Variants filtered out': 0, 'Overlapped genes': 38, 'Overlapped transcripts': 271}
77T-ensemble-annotated	{'deletion': 11, 'insertion': 11, 'SNV': 285}	{'splice_acceptor_variant': 12, 'splice_donor_variant': 94, 'stop_gained': 71, 'frameshift_variant': 16, 'stop_lost': 13, 'start_lost': 1, 'inframe_deletion': 2, 'missense_variant': 89, 'splice_region_variant': 1, 'splice_polypyrimidine_tract_variant': 1, '5_prime_UTR_variant': 1, '3_prime_UTR_variant': 1, 'non_coding_transcript_exon_variant': 1, 'intron_variant': 4}	{'splice_acceptor_variant': 45, 'splice_donor_variant': 520, 'stop_gained': 252, 'frameshift_variant': 30, 'stop_lost': 15, 'start_lost': 1, 'inframe_deletion': 2, 'missense_variant': 414, 'splice_donor_5th_base_variant': 5, 'splice_region_variant': 583, 'splice_donor_region_variant': 6, 'splice_polypyrimidine_tract_variant': 4, 'synonymous_variant': 15, 'coding_sequence_variant': 4, '5_prime_UTR_variant': 14, '3_prime_UTR_variant': 113, 'non_coding_transcript_exon_variant': 269, 'intron_variant': 654, 'NMD_transcript_variant': 397, 'non_coding_transcript_variant': 364, 'upstream_gene_variant': 328, 'downstream_gene_variant': 425}	{'stop_gained': 252, 'frameshift_variant': 30, 'stop_lost': 15, 'start_lost': 1, 'inframe_deletion': 2, 'missense_variant': 414, 'synonymous_variant': 15, 'coding_sequence_variant': 4}	{'chr1': 23, 'chr2': 23, 'chr3': 11, 'chr4': 10, 'chr5': 5, 'chr6': 18, 'chr7': 15, 'chr8': 11, 'chr9': 7, 'chr10': 17, 'chr11': 24, 'chr12': 12, 'chr13': 5, 'chr14': 20, 'chr15': 15, 'chr16': 17, 'chr17': 19, 'chr18': 5, 'chr19': 19, 'chr20': 11, 'chr21': 3, 'chr22': 5, 'chrX': 12}	{'00-10%': 32, '10-20%': 71, '20-30%': 63, '30-40%': 75, '40-50%': 77, '50-60%': 73, '60-70%': 86, '70-80%': 71, '80-90%': 68, '90-100%': 117}	{'Lines of input read': 307, 'Variants processed': 307, 'Variants filtered out': 0, 'Overlapped genes': 436, 'Overlapped transcripts': 2944}
